sid       assignname grade 
D10059906 chapter1       0 
D10059906 homework2      0 
D10694080 chapter1       0 
D10747533 chapter1       0 
D10747606 chapter1       0 
D10747614 chapter1       0 
D10755503 chapter1     100 
D10755503 lab1          20 
D10755503 lab2          20 
D10755503 lab3          19 
D10755504 chapter1       0 
D10755504 lab2          19 
D10755504 lab3          19 
D10755505 chapter1     100 
D10755505 lab1          16 
D10755505 lab2          20 
D10755505 lab3          18 
D10755507 chapter1     100 
D10755507 lab1          18 
D10755507 lab2          19 
D10755507 lab3          17 
D10755508 chapter1      50 
D10755508 lab1          16 
D10755508 lab2          18 
D10755508 lab3          16 
D10755509 chapter1     100 
D10755511 chapter1     100 
D10755511 lab1          18 
D10755511 lab2          18 
D10755511 lab3          17 
D10755514 chapter1     100 
D10755514 lab1          18 
D10755514 lab2          18 
D10755514 lab3          18 
D10755514 lab5           0 
D10755515 chapter1     100 
D10755515 lab1           0 
D10755515 lab2          12 
D10755515 lab3          20 
D10755519 chapter1     100 
D10755519 lab1          20 
D10755519 lab2          20 
D10755519 lab3          19 
D10755520 chapter1     100 
D10755520 lab1           0 
D10755520 lab2          15 
D10755520 lab3          16 
D10755521 chapter1      50 
D10755521 lab1           2 
D10755521 lab2          19 
D10755521 lab3          18 
D10755524 chapter1       0 
D10755524 lab1           2 
D10755524 lab2          19 
D10755524 lab3          14 
D10755525 chapter1     100 
D10755525 lab1           8 
D10755525 lab2          15 
D10755525 lab3          16 
D10755526 chapter1     100 
D10755526 lab1          18 
D10755526 lab2          10 
D10755526 lab3          14 
D10755527 chapter1     100 
D10755527 lab1           0 
D10755527 lab2           1 
D10755528 chapter1      50 
D10755528 lab1          18 
D10755528 lab2          20 
D10755528 lab3          17 
D10755530 chapter1     100 
D10755530 lab1          18 
D10755530 lab2          14 
D10755530 lab3          19 
D10755531 chapter1     100 
D10755531 lab1          18 
D10755531 lab2          19 
D10755531 lab3          17 
D10755533 chapter1     100 
D10755533 lab1          18 
D10755533 lab2          19 
D10755533 lab3          20 
D10755535 chapter1       0 
D10755535 lab1           2 
D10755535 lab2          18 
D10755535 lab3          15 
D10755536 chapter1       0 
D10755536 lab1           2 
D10755536 lab2          18 
D10755537 chapter1     100 
D10755537 lab1           2 
D10755537 lab2          19 
D10755537 lab3          17 
D10755538 chapter1     100 
D10755538 lab1           2 
D10755538 lab2          19 
D10755538 lab3          14 
D10755539 chapter1     100 
D10755539 lab1           2 
D10755539 lab2          19 
D10755539 lab3          18 
D10755540 chapter1     100 
D10755540 lab1           2 
D10755540 lab2          18 
D10755540 lab3          18 
D10755541 chapter1     100 
D10755541 lab1          12 
D10755541 lab2          18 
D10755541 lab3          17 
D10755545 chapter1      50 
D10755545 lab1          18 
D10755545 lab2          19 
D10755545 lab3          17 
D10755546 chapter1     100 
D10755546 lab1          20 
D10755546 lab2          18 
D10755546 lab3          15 
D10755547 chapter1     100 
D10755547 lab1          20 
D10755547 lab2          19 
D10755547 lab3          18 
D10755548 chapter1     100 
D10755548 lab1          18 
D10755548 lab2          15 
D10755548 lab3          17 
D10755552 chapter1     100 
D10755552 lab1          14 
D10755552 lab2          19 
D10755552 lab3          20 
D10755553 chapter1     100 
D10755553 lab1          18 
D10755553 lab2          19 
D10755553 lab3          19 
D10755554 chapter1     100 
D10755554 lab1          18 
D10755554 lab2          18 
D10755554 lab3          18 
D10755555 chapter1     100 
D10755555 lab1          10 
D10755555 lab2          15 
D10755555 lab3          18 
D10755556 chapter1     100 
D10755556 lab1           0 
D10755556 lab2           2 
D10755558 chapter1       0 
D10755558 lab1          18 
D10755558 lab2          19 
D10755558 lab3          17 
D10755561 chapter1     100 
D10755561 lab1           0 
D10755561 lab2          14 
D10755561 lab3          16 
D10755562 chapter1     100 
D10755562 lab1          18 
D10755562 lab2          18 
D10755562 lab3          16 
D10755564 chapter1     100 
D10755564 lab1          12 
D10755564 lab2          19 
D10755564 lab3          18 
D10755565 chapter1     100 
D10755565 lab1           2 
D10755565 lab2          15 
D10755565 lab3          16 
D10755566 chapter1     100 
D10755566 lab1          18 
D10755566 lab2          19 
D10755566 lab3          19 
D10755567 chapter1     100 
D10755567 lab1          14 
D10755567 lab2          17 
D10755567 lab3          18 
D10755568 chapter1     100 
D10755568 lab1          18 
D10755568 lab2          16 
D10755568 lab3          18 
D10755569 chapter1     100 
D10755569 lab1           0 
D10755569 lab2          19 
D10755569 lab3          18 
D10755570 chapter1     100 
D10755570 lab1           0 
D10755570 lab2          13 
D10755570 lab3          20 
D10755574 chapter1     100 
D10755574 lab1           0 
D10755574 lab2          14 
D10755574 lab3          16 
D10755575 chapter1     100 
D10755575 lab2          19 
D10755575 lab3          16 
D10755576 chapter1     100 
D10755576 lab1          18 
D10755576 lab2          19 
D10755576 lab3          17 
D10755577 chapter1     100 
D10755577 lab1           4 
D10755577 lab2          19 
D10755577 lab3          17 
D10755578 chapter1       0 
D10755578 lab1          16 
D10755578 lab2          18 
D10755578 lab3          18 
D10755579 chapter1     100 
D10755579 lab1           2 
D10755579 lab2          18 
D10755579 lab3          15 
D10755580 chapter1      50 
D10755580 lab1           0 
D10755580 lab2          20 
D10755580 lab3          17 
D10755581 chapter1     100 
D10755581 lab1          20 
D10755581 lab2          20 
D10755581 lab3          16 
D10755582 chapter1     100 
D10755582 lab1          12 
D10755582 lab2          19 
D10755582 lab3          17 
D10755583 chapter1       0 
D10755583 lab1          18 
D10755583 lab2          16 
D10755583 lab3          16 
D10755584 chapter1     100 
D10755584 lab1          18 
D10755584 lab2          19 
D10755584 lab3          17 
D10755585 chapter1     100 
D10755585 lab1           2 
D10755585 lab2          11 
D10755585 lab3          17 
D10755586 chapter1     100 
D10755586 lab1           4 
D10755586 lab2          19 
D10755586 lab3          17 
D10755587 chapter1     100 
D10755587 lab1          18 
D10755587 lab2          19 
D10755587 lab3          18 
D10755588 chapter1     100 
D10755588 lab1           2 
D10755588 lab2          15 
D10755588 lab3          16 
D10755589 chapter1       0 
D10755589 lab1           2 
D10755589 lab2          14 
D10755589 lab3          17 
D10755590 chapter1       0 
D10755590 lab1          16 
D10755590 lab2          19 
D10755590 lab3          18 
D10755591 chapter1       0 
D10755591 lab1           2 
D10755591 lab2          15 
D10755591 lab3          16 
D10755592 chapter1     100 
D10755592 lab1          20 
D10755592 lab2          19 
D10755592 lab3          18 
D10755593 chapter1     100 
D10755593 lab1          18 
D10755593 lab2          20 
D10755593 lab3          18 
D10755594 chapter1     100 
D10755594 lab1          16 
D10755594 lab2          19 
D10755594 lab3          17 
D10755595 chapter1     100 
D10755595 lab1          20 
D10755595 lab2          19 
D10755595 lab3          19 
D10755596 chapter1       0 
D10755596 lab1          16 
D10755596 lab2          19 
D10755596 lab3          18 
D10755597 chapter1     100 
D10755597 lab1          16 
D10755597 lab2          19 
D10755597 lab3          16 
D10755598 chapter1     100 
D10755598 lab1          16 
D10755598 lab2          19 
D10755599 chapter1     100 
D10755599 lab2           8 
D10755599 lab3          20 
D10755600 chapter1       0 
D10755600 lab2          19 
